,mse,mae,smape,p10,p50,p90
96,0.15412239730358124,0.23747360706329346,102.09142303466797,0.028424246236681938,0.15515628457069397,0.504546582698822
192,0.1816294938325882,0.27288001775741577,112.3397216796875,0.03250427544116974,0.17927783727645874,0.601980447769165
336,0.19698943197727203,0.29285916686058044,116.22899627685547,0.03440403565764427,0.19257280230522156,0.6655615568161011
720,0.36042529344558716,0.3868772089481354,134.73928833007812,0.041353240609169006,0.2337513566017151,0.9304166436195374
