Setup,Learning_scenario,Metric,NHiTS,Transformer,TSMixer
ELD_to_Bavaria,Zero-Shot,MSE,0.0015695011522135,0.0016369136941317,0.0019538537412837
ELD_to_Bavaria,Zero-Shot,MAE,0.0292880703046014,0.0299537077539064,0.0305959642406157
ELD_to_Bavaria,four_weeks_tl,MSE,0.0005078487363954,0.0016419252877478,0.001780907922666
ELD_to_Bavaria,four_weeks_tl,MAE,0.0139812016718541,0.0300266166274068,0.0303388822816707
ELD_to_Bavaria,full_tl,MSE,0.0003172958156414,0.0013984966109009,0.0003321433305383
ELD_to_Bavaria,full_tl,MAE,0.0097990169323924,0.0279399878451262,0.0098295089370698
ELD_to_Bavaria,full_training,MSE,0.0003569994486993,0.0004923722237408,0.0004918036151979
ELD_to_Bavaria,full_training,MAE,0.0102485662633129,0.0110804479054147,0.0109747748673808
ELD_to_Bavaria,four_weeks_training,MSE,0.0002824699067993,0.000315454461143,0.0002710774837754
ELD_to_Bavaria,four_weeks_training,MAE,0.0089614489521464,0.0091732327621712,0.0085966188538198
ELD_to_GP2,Zero-Shot,MSE,0.9210195312007472,0.986174980018431,1.1791502460701155
ELD_to_GP2,Zero-Shot,MAE,0.608790879602624,0.6555483430569525,0.6782168723111615
ELD_to_GP2,four_weeks_tl,MSE,0.8668340150900253,1.0004961893262114,0.8044079759003258
ELD_to_GP2,four_weeks_tl,MAE,0.5752250858917969,0.6576156660887179,0.5231340552596767
ELD_to_GP2,full_tl,MSE,0.8066149498906389,0.9751136889732298,0.5787416771735309
ELD_to_GP2,full_tl,MAE,0.5505100099107683,0.6494875797623908,0.3892936887427266
ELD_to_GP2,full_training,MSE,0.997854698292734,1.0457260579796988,0.8313507244290556
ELD_to_GP2,full_training,MAE,0.6577604890305556,0.6646385035959415,0.5085266320208527
ELD_to_GP2,four_weeks_training,MSE,0.8230140565518269,0.9752960502011684,0.6006312544101771
ELD_to_GP2,four_weeks_training,MAE,0.5684877184561881,0.6490939659980794,0.3996754356777428
Bavaria_to_ELD,Zero-Shot,MSE,7.187101312797435,10.216169872423158,42.129864812767416
