,mse,mae,smape,p10,p50,p90
96,0.15809133648872375,0.23905950784683228,102.49651336669922,0.028114520013332367,0.15549686551094055,0.5086644887924194
192,0.18313123285770416,0.2747872471809387,112.89159393310547,0.03203800320625305,0.18045057356357574,0.6082618832588196
336,0.2061718851327896,0.3009113073348999,118.19518280029297,0.03537679463624954,0.19820186495780945,0.6874720454216003
720,0.3806694746017456,0.3984706699848175,136.75344848632812,0.04078301787376404,0.24193885922431946,0.9620042443275452
