,NHiTS,Transformer,TSMixer,iTransformer
Zero-Shot,4.428296918320466,3.3708602757997963,3.470336260423656,1.162248780330022
Short-TL,0.9036325659450929,0.6622445226664747,0.42073614915327173,0.2787542545896334
Full-TL,0.5622908972086099,0.6543019576158619,0.3025528363475687,0.2185612183238845
Short training,0.4590542733730889,0.6656470289200495,0.4016258385095655,0.2842573642265051
Full training,0.39994277066796763,0.6411002524552013,0.2692265987856614,0.2200281010203374
Overall Mean [MSE],1.350643485103045,1.1988308074914766,0.9728955366439449,0.43276994369807653
Mean Jumpstart Zero-Shot,-89.63361577057042,-80.25290357779326,-88.42688983515,-75.5424682703655
Mean Jumpstart TL,-49.199011780526924,0.5137839781407028,-4.542112837740609,1.9741796030963155
Mean Asymptotic Perf.,-28.872622222161127,-2.0176777720129047,-11.015014092818664,0.6711541542924193
