,Source,Learning_scenario,Metric,NHiTS,Transformer,TSMixer,iTransformer,TimeGPT
0,ELD,Zero-Shot,MAE,28.9929807609455,29.8863350604237,29.318757425767902,398.4672725200653,21.998640548970002
1,ELD,Zero-Shot,MSE,1.5434423006478,1.627317422059,1.7817284201693,195.0434446334839,22.9165225090192
2,ELD,four_weeks_tl,MAE,14.3557757872975,30.217577481049698,21.80715476579,21.556263789534498,
3,ELD,four_weeks_tl,MSE,0.5207036397912,1.6544032811053,1.0542831380117,0.8369934512302,
4,ELD,full_tl,MAE,10.3720751181809,9.076650850615898,11.0588902925056,9.0518156066536,
5,ELD,full_tl,MSE,0.3258119302314,0.3136708230957,0.3556699881493,0.2552048244979,
6,GP2,Zero-Shot,MAE,31.561182804800698,30.267430225979798,30.263568877919802,435.0238740444183,21.998640548970002
7,GP2,Zero-Shot,MSE,1.8110468014182999,1.6727964220714,1.7224499504002,232.9590916633606,22.9165225090192
8,GP2,four_weeks_tl,MAE,10.5527634326735,10.7366533263826,12.286970540034499,13.992472551763,
9,GP2,four_weeks_tl,MSE,0.46815594443860004,0.4885698383669,0.5086880411881,0.4228723701089,
10,GP2,full_tl,MAE,10.1038792830271,9.0698065583692,8.6929823005586,10.997571051120701,
11,GP2,full_tl,MSE,0.3176960120788,0.31412003487600004,0.2690686328192,0.3090642567258,
0,Bavaria,four_weeks_training,MAE,10.0408197260659,11.200571015554699,11.2504034998092,27.2260196506977,
1,Bavaria,four_weeks_training,MSE,0.3408353305723,0.49451475568709996,0.5015857390334001,1.3149438891559,
2,Bavaria,full_training,MAE,8.917084286539701,9.1643593147058,9.2069054001264,8.2559213042259,
3,Bavaria,full_training,MSE,0.2776405703267,0.3145556372945,0.2870830408579,0.2394128241576,
