,NHiTS,Transformer,TSMixer,iTransformer
Zero-Shot,172535.90211912512,3.384655222423364,3.9713101491906833,1.162248780330022
Short-TL,59.62081329828546,0.6676140450345267,0.4955506294677745,0.2787542545896334
Full-TL,0.44232464007206024,0.6413738899608333,0.288564617516648,0.2185612183238845
Short training,1.41573139868461,0.6675579255259594,0.511216047734133,0.2842573642265051
Full training,0.44665728869347315,0.6411064758540642,0.3005353257534749,0.2200281010203374
Overall mean MSE,34519.565529150175,1.2004615117597497,1.1134353539325426,0.43276994369807653
