Source,Learning_scenario,NHiTS,Transformer,TSMixer,iTransformer,TimeGPT,Mean MSE
Bavaria,Zero-Shot,15.634192202213036,10.37288645932274,9.90347949083704,2.735579013824463,0.0667750591347957,7.742582445066415
Bavaria,four_weeks_tl,2.586795013968962,0.9612803061078063,0.4807392013442777,0.3372935652732849,,1.0915270216735828
Bavaria,full_tl,0.951297920333208,0.9777026359182204,0.3083715305874382,0.2110592126846313,,0.6121078248808745
GP2,Zero-Shot,0.693016366203771,0.957342757795849,0.9832749451598982,0.4504185914993286,0.0667750591347957,0.6301655439587285
GP2,four_weeks_tl,0.7634351957235893,0.9519066436447366,0.3617810727416599,0.2214540839195251,,0.5746442490073778
GP2,full_tl,0.4702897922944848,0.94672716294762,0.2184591384155907,0.1804913431406021,,0.4539918591995744
ELD,four_weeks_training,0.4078768018062097,0.9541259750615072,0.3519951553784147,0.2646385729312897,,0.4946591262943553
ELD,full_training,0.3445099133481509,0.9473608038286224,0.211540967076473,0.1820233315229416,,0.421358753944047
Overall mean,All experiments,2.7314266507364264,2.1336665930783876,1.602455187692599,0.5728697143495083,0.0667750591347957,1.5026296030031194
