Source,Learning_scenario,NHiTS,Transformer,TSMixer,iTransformer,TimeGPT,Mean MSE
ELD,Zero-Shot,0.0015434423006478,0.001627317422059,0.0017817284201693,0.1950434446334839,0.0229165225090192,0.04458249105707584
ELD,four_weeks_tl,0.0005207036397912,0.0016544032811053,0.0010542831380117,0.0008369934512302,,0.0010165958775346
ELD,full_tl,0.0003258119302314,0.0003136708230957,0.0003556699881493,0.0002552048244979,,0.00031258939149357497
GP2,Zero-Shot,0.0018110468014183,0.0016727964220714,0.0017224499504002,0.2329590916633606,0.0229165225090192,0.052216381469253934
GP2,four_weeks_tl,0.0004681559444386,0.0004885698383669,0.0005086880411881,0.0004228723701089,,0.000472071548525625
GP2,full_tl,0.0003176960120788,0.000314120034876,0.0002690686328192,0.0003090642567258,,0.00030248723412495
Bavaria,four_weeks_training,0.0003408353305723,0.0004945147556871,0.0005015857390334,0.0013149438891559,,0.000662969928612175
Bavaria,full_training,0.0002776405703267,0.0003145556372945,0.0002870830408579,0.0002394128241576,,0.000279673018159175
Overall mean,All experiments,0.0007006665661881376,0.0008599935268194875,0.0008100696188286375,0.053922628489090095,0.0229165225090192,0.012480657440597485
