Source,Learning_scenario,NHiTS,Transformer,TSMixer,iTransformer,TimeGPT,Mean MSE
Bavaria,Zero-Shot,6.936575646810166,7.721718129553786,8.12855521242187,2.4932823181152344,0.08251036896274,5.072528335172759
Bavaria,four_weeks_tl,1.0293203293187527,1.082038487496716,0.8663280749015878,0.60429447889328,,0.8954953426525841
Bavaria,full_tl,0.9760550354254964,0.9765286231498612,0.6441110829657567,0.4677992463111877,,0.7661234969630755
ELD,Zero-Shot,0.9277600494555625,0.9869161538602664,1.2333838190522446,0.8662102222442627,0.08251036896274,0.8193561227150152
ELD,four_weeks_tl,0.9950742941669832,1.026640056419634,0.8659917389670935,0.5082235336303711,,0.8489824057960205
ELD,full_tl,0.9805492375189032,0.7387933955005144,0.6578745112449639,0.4514532387256622,,0.7071675957475109
GP2,four_weeks_training,1.0015820313306352,0.9414584320685544,1.0531404917375262,0.5868185758590698,,0.8957498827489464
GP2,full_training,0.9808304007463088,0.9755557117884948,0.6744546918045232,0.4778215587139129,,0.7771655907633099
Overall mean,All experiments,0.9844530539946631,0.9611329800405773,0.8564692015248137,0.5660886934825352,0.08251036896274,0.8157200624837804
