,Jumpstart fine_tune combined,Jumpstart zero-shot combined,Jumpstart fine tune GP2,Jumpstart fine tune ELD,Asymptotic combined,Asymptotic GP2,Asymptotic ELD
NHiTS,-21.93388069920813,-94.49621617114255,-37.57185246456426,4.156975968130028,0.008650804979071225,2.0399246261632697,-1.943329736254773
Transformer,2.1193033325801913,-68.99977485742431,2.4218123305653982,1.8185760293811581,0.3876838663203097,1.3676030234592407,-0.573470956635036
iTransformer,76.63317366633619,-99.43440421550608,153.27410542388725,35.600394061214956,-39.99987967550689,-53.184281206750406,-16.478181963870618
TSMixer,13.493965038612687,-74.25584800036249,11.301174077731503,15.774894638538207,10.676551631144825,2.5897510601909035,20.147358587842824
