,mse,mae,smape,p10,p50,p90
96,0.1487410068511963,0.23044975101947784,98.85787200927734,0.02742813527584076,0.1502208411693573,0.4864896833896637
192,0.17453964054584503,0.26682019233703613,109.61000061035156,0.032075438648462296,0.17615263164043427,0.5842094421386719
336,0.18956735730171204,0.2867499887943268,113.7459487915039,0.03328058496117592,0.18893103301525116,0.6536399722099304
720,0.3585969805717468,0.3846279978752136,134.01376342773438,0.038475703448057175,0.22958242893218994,0.9394028782844543
